model,model_label,label,unit,n,median,mad_sigma,p16,p84,mean,std
payne_mlp,Payne-MLP,Teff,K,9244,-63.0283203125,125.50556484375,-182.765,77.98074218749998,-51.52210998535156,145.70286560058594
payne_mlp,Payne-MLP,logg,dex,9244,0.10385245084762573,0.22394306470155714,-0.12302058458328247,0.3305216407775879,0.10534681379795074,0.24784767627716064
payne_mlp,Payne-MLP,Fe_H,dex,9244,0.04886406660079956,0.08883461098149419,-0.03203461766242981,0.15348920583724973,0.0609198734164238,0.1058351919054985
kan_payne,KAN-Payne,Teff,K,9526,-20.157470703125,113.25873142089843,-123.774169921875,106.7802734375,-6.574853420257568,129.9790496826172
kan_payne,KAN-Payne,logg,dex,9526,0.19254648685455322,0.2016046698331833,-0.009315013885498047,0.4142167568206787,0.20023980736732483,0.254025399684906
kan_payne,KAN-Payne,Fe_H,dex,9526,0.03646724671125412,0.0534283317759633,-0.016605675220489502,0.0941445380449295,0.03986392915248871,0.06736250221729279
transformer_payne,TransformerPayne,Teff,K,9408,-48.54150390625,137.42319301757811,-194.21521484374998,83.34828125,-48.377071380615234,149.33131408691406
transformer_payne,TransformerPayne,logg,dex,9408,0.17062807083129883,0.1947639600276947,-0.03223044395446776,0.3718999814987183,0.16735440492630005,0.23947115242481232
transformer_payne,TransformerPayne,Fe_H,dex,9408,0.03522186726331711,0.06150325904041529,-0.020885936021804805,0.10624318778514862,0.045280277729034424,0.08193302899599075
