model,sample,label,unit,n,median,mad_sigma
Payne-MLP,own_quality,Teff,K,9244,-63.0283203125,125.50556182861328
Payne-MLP,common_quality,Teff,K,9117,-62.8583984375,124.77584838867188
Payne-MLP,own_quality,logg,dex,9244,0.10385245084762573,0.2239430546760559
Payne-MLP,common_quality,logg,dex,9117,0.1048121452331543,0.22216002643108368
Payne-MLP,own_quality,Fe_H,dex,9244,0.04886406660079956,0.08883460611104965
Payne-MLP,common_quality,Fe_H,dex,9117,0.048328667879104614,0.08801741153001785
KAN-Payne,own_quality,Teff,K,9526,-20.157470703125,113.25872802734375
KAN-Payne,common_quality,Teff,K,9117,-17.3955078125,112.88536834716797
KAN-Payne,own_quality,logg,dex,9526,0.19254648685455322,0.2016046643257141
KAN-Payne,common_quality,logg,dex,9117,0.1965925693511963,0.1993885338306427
KAN-Payne,own_quality,Fe_H,dex,9526,0.03646724671125412,0.05342832952737808
KAN-Payne,common_quality,Fe_H,dex,9117,0.037020981311798096,0.05276607722043991
TransformerPayne-style,own_quality,Teff,K,9408,-48.54150390625,137.42318725585938
TransformerPayne-style,common_quality,Teff,K,9117,-47.09326171875,136.40933227539062
TransformerPayne-style,own_quality,logg,dex,9408,0.17062807083129883,0.19476395845413208
TransformerPayne-style,common_quality,logg,dex,9117,0.1726994514465332,0.1933542788028717
TransformerPayne-style,own_quality,Fe_H,dex,9408,0.03522186726331711,0.06150325760245323
TransformerPayne-style,common_quality,Fe_H,dex,9117,0.035184502601623535,0.060859695076942444
